# ----------------------------------------
# elektrischefietsen.com ALLE_DATA
# Top Events
# 20181001-20190812
# ----------------------------------------

Event Label,Page,Total Events,Unique Events,Event Value,Avg. Value
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-herenfiets&type[1]=elektrische-hybridefietsen&type[2]=speed-pedelec&orderby=popularity&order=DESC,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-herenfiets&type[1]=elektrische-stadsfiets&motorpositie[0]=ebike-middenmotor&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-herenfiets&type[1]=elektrische-stadsfiets&motorpositie[0]=ebike-middenmotor&prijs[0]=1000-1500&prijs[1]=1500-2000&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-herenfiets&type[1]=elektrische-stadsfiets&type[2]=elektrische-transportfietsen&motorpositie[0]=ebike-middenmotor&motorpositie[1]=in-het-achterwiel&motorpositie[2]=in-het-voorwiel&aantal_versnellingen[0]=5&aantal_versnellingen[1]=6&aantal_versnellingen[2]=7&aantal_versnellingen[3]=8&aantal_versnellingen[4]=9&aantal_versnellingen[5]=10&aantal_versnellingen[6]=11&aantal_versnellingen[7]=12&aantal_versnellingen[8]=14&aantal_versnellingen[9]=17&aantal_versnellingen[10]=20&aantal_versnellingen[11]=22&aantal_versnellingen[12]=24&aantal_versnellingen[13]=27&aantal_versnellingen[14]=30&prijs[0]=0-1000&prijs[1]=1000-1500&prijs[2]=1500-2000&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-herenfiets&type[1]=elektrische-stadsfiets&type[2]=elektrische-transportfietsen&motorpositie[0]=in-het-voorwiel&aantal_versnellingen[0]=5&aantal_versnellingen[1]=6&aantal_versnellingen[2]=7&aantal_versnellingen[3]=8&aantal_versnellingen[4]=9&aantal_versnellingen[5]=10&aantal_versnellingen[6]=11&aantal_versnellingen[7]=12&aantal_versnellingen[8]=14&aantal_versnellingen[9]=17&aantal_versnellingen[10]=20&aantal_versnellingen[11]=22&aantal_versnellingen[12]=24&aantal_versnellingen[13]=27&aantal_versnellingen[14]=30&prijs[0]=0-1000&prijs[1]=1000-1500&prijs[2]=1500-2000&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-herenfiets&type[1]=elektrische-stadsfiets&type[2]=elektrische-transportfietsen&motorpositie[0]=in-het-voorwiel&prijs[0]=0-1000&prijs[1]=1000-1500&prijs[2]=1500-2000&orderby=price&order=ASC,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-herenfiets&type[1]=speed-pedelec&motorpositie[0]=ebike-middenmotor&motortechniek[0]=bosch-e-bike-motor&prijs[0]=3500-plus,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=ebike-middenmotor,2,2,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=ebike-middenmotor&motortechniek[0]=bosch-active-line-plus&accupositie[1]=in-het-frame-weggewerkt,2,0,0,0.00
| | | | | | | |,/p/?frametype[0]=elektrische-herenfietsen&type[0]=elektrische-hybridefietsen&motorpositie[0]=ebike-middenmotor&motortechniek[0]=bosch-active-line-plus&accupositie[1]=in-het-frame-weggewerkt&aantal_versnellingen[0]=traploos,2,2,0,0.00
